KOD_DIAGNOZY,NAZOV_DIAGNOZY,DOPLNUJUCE_INFO
M62.15,"Iné roztrhnutie svalu (neúrazové) v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M62.16,"Iné roztrhnutie svalu (neúrazové) v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M62.17,"Iné roztrhnutie svalu (neúrazové) v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M62.18,"Iné roztrhnutie svalu (neúrazové) na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M62.19,"Iné roztrhnutie svalu (neúrazové), miesto bližšie neurčené",
M62.2-,Ischemický infarkt svalu (neúrazový),"Neúrazový kompartment syndróm 
Nepatrí sem:  
Úrazová ischémia svalu (T79.6) 
Úrazový kompartment syndróm (T79.6) 
Volkmannova kontraktúra (ischemická svalová kontraktúra) (T79.6)"
M62.20,Ischemický infarkt svalu (neúrazový) na viacerých miestach,
M62.21,"Ischemický infarkt svalu (neúrazový) v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M62.22,"Ischemický infarkt svalu (neúrazový) nadlaktia (ramenná kosť, lakťový kĺb)",
M62.23,"Ischemický infarkt svalu (neúrazový) predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M62.24,"Ischemický infarkt svalu (neúrazový) ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M62.25,"Ischemický infarkt svalu (neúrazový) panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M62.26,"Ischemický infarkt svalu (neúrazový) predkolenia (ihlica, píšťala, kolenný kĺb)",
M62.27,"Ischemický infarkt svalu (neúrazový) členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M62.28,"Ischemický infarkt svalu (neúrazový) na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M62.29,"Ischemický infarkt svalu (neúrazový), miesto bližšie neurčené",
M62.3-,Syndróm nehybnosti (paraplegický),
M62.30,Syndróm nehybnosti (paraplegický) na viacerých miestach,
M62.31,"Syndróm nehybnosti (paraplegický) v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M62.32,"Syndróm nehybnosti (paraplegický) v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M62.33,"Syndróm nehybnosti (paraplegický) v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M62.34,"Syndróm nehybnosti (paraplegický) v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M62.35,"Syndróm nehybnosti (paraplegický) v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M62.36,"Syndróm nehybnosti (paraplegický) v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M62.37,"Syndróm nehybnosti (paraplegický) v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M62.38,"Syndróm nehybnosti (paraplegický) na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M62.39,"Syndróm nehybnosti (paraplegický), miesto bližšie neurčené",
M62.4-,Kontraktúra svalu,"Nepatrí sem:  
Kontraktúra kĺbu (M24.5-)"
M62.40,Kontraktúra svalu na viacerých miestach,
G21.3,Parkinsonov syndróm po zápale mozgu,
G21.4,Vaskulárny Parkinsonov syndróm,
G21.8,Iný sekundárny Parkinsonov syndróm,
G21.9,"Sekundárny Parkinsonov syndróm, bližšie neurčený",
G22*,Parkinsonov syndróm pri chorobách zatriedených inde,"Patrí sem:  
Parkinsonov syndróm pri syfilise (A52.1†)"
G23.-,Iná degeneratívna choroba bazálnych ganglií,"Nepatrí sem: 
Multisystémová degenerácia (G90.3)"
G23.0,Hallervordenova-Spatzova choroba,Pigmentová degenerácia pallida
G23.1,Progresívna supranukleárna oftalmoplégia [Steele-Richardson-Olszewski syndrom],
G23.2,Striatonigrálna degenerácia,
G23.8,"Iná degeneratívna choroba bazálnych ganglií, bližšie určená",Kalcifikácia bazálnych ganglií
G23.9,"Degeneratívna choroba bazálnych ganglií, bližšie neurčená",
G24.-,Dystónia,"Patria sem:  
Dyskinézy 
Nepatrí sem:  
Dyskinetická detská mozgová obrna (atetoidné mozgové ochrnutie) (G80.3)"
G24.0,Dystónia zapríčinená liekmi,"Dyskinesis tarda 
Na určenie liečiva použite podľa potreby prídavný kód vonkajších príčin (XX. kapitola)."
G24.1,Idiopatická familiárna dystónia,"Idiopatická dystónia, bližšie neurčená"
G24.2,Idiopatická nefamiliárna dystónia,
G24.3,Spastický tortikolis,"Nepatrí sem:  
Tortikolis, bližšie neurčený (M43.6)"
G24.4,Idiopatická orofaciálna dystónia,Orofaciálna dyskinéza
G24.5,Blefarospazmus,
G24.8,Iná dystónia,
G24.9,"Dystónia, bližšie neurčená","Dyskinéza, bližšie neurčená"
G25.-,Iná extrapyramídová porucha a porucha hybnosti,
G25.0,Esenciálny tremor,"Familiárny tremor 
Nepatrí sem:  
Tremor, bližšie neurčený (R25.1)"
G25.1,Tremor zapríčinený liekom,Na určenie liečiva použite podľa potreby prídavný kód vonkajších príčin (XX. kapitola).
G25.2,Iná bližšie určená forma tremoru,Intenčný tremor
G25.3,Myoklonus,"Myoklonus zapríčinený liečivom 
Na určenie liečiva použite podľa potreby prídavný kód vonkajších príčin (XX. kapitola). 
Nepatrí sem:  
Tvárová myokýmia (G51.4) 
Myoklonická epilepsia (G40.-) "
G25.4,Chorea zapríčinená liekom,Na určenie liečiva použite podľa potreby prídavný kód vonkajších príčin (XX. kapitola).
G25.5,Iná chorea,"Chorea, bližšie neurčená 
Nepatrí sem:  
Huntingtonova chorea (G10) 
   Chorea minor (Sydenhamova chorea) (I02.-) 
   Chorea s postihnutím srdca, bližšie neurčená (I02.0) 
   Reumatická chorea (I02.-)"
G25.6,Tiky zapríčinené liekom a iné tiky organického pôvodu,"Na určenie liečiva použite podľa potreby prídavný kód vonkajších príčin (XX. kapitola). 
Nepatrí sem: 
Syndróm Gilles de la Tourette (F95.2) 
Tik, bližšie neurčený (F95.9)"
G25.8-,Iná bližšie určená extrapyramídová porucha a porucha hybnosti,
G25.80,Periodické pohyby nôh v spánku,Periodické pohyby končatín v spánku (PLMS)
G25.81,Syndróm nepokojných nôh,
G25.88,"Iná extrapyramídová porucha a porucha hybnosti, bližšie určená","Syndróm stuhnutého človeka (""stiff-man syndrome"")"
G25.9,"Extrapyramídová porucha a porucha hybnosti, bližšie neurčená",
G26*,Extrapyramídové poruchy a poruchy hybnosti pri chorobách zatriedených inde,
G30.-†,Alzheimerova choroba (F00.-*),"Patrí sem:  
Senilná a presenilná forma 
Nepatrí sem:  
Senilná:  
• degenerácia mozgu, nezatriedená inde (G31.1) 
• demencia, bližie neurčená (F03) 
Senilita, bližšie neurčená (R54)"
G30.0†,Alzheimerova choroba so skorým začiatkom (F00.0*),Poznámka: začiatok býva zvyčajne pred 65.rokom.
G30.1†,Alzheimerova choroba s neskorým začiatkom (F00.1*),Poznámka: začiatok býva zvyčajne po 65. roku.
G30.8†,Iná Alzheimerova choroba (F00.2*),
G30.9†,"Alzheimerova choroba, bližšie neurčená",
G31.-,"Iná degeneratívna choroba nervovej sústavy, nezatriedená inde","Nepatrí sem:  
Reyov syndróm (G93.7)"
G31.0,Ohraničená atrofia mozgu,"Pickova choroba 
Progresívna izolovaná afázia"
G31.1,"Starecká degenerácia mozgu, nezatriedená inde","Nepatrí sem:  
Alzheimerova choroba (G30.-) 
Senilita, bližšie neurčená (R54)"
G31.2,Degenerácia nervovej sústavy zapríčinená alkoholom,"Alkoholová:  
• encefalopatia 
• cerebelárna ataxia 
• cerebelárna degenerácia 
• cerebrálna degenerácia 
Porucha funkcie autonómnej nervovej sústavy zapríčinená alkoholom "
M01.57*,"Artritída pri iných vírusových chorobách zatriedených inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M01.58*,"Artritída pri iných vírusových chorobách zatriedených inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M01.59*,"Artritída pri iných vírusových chorobách zatriedených inde, miesto bližšie neurčené",
M01.6-*,Artritída pri mykózach (B35-B49†),
M01.60*,"Artritída pri mykózach (B35-B49†), na viacerých miestach",
M01.61*,"Artritída pri mykózach (B35-B49†), v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M01.62*,"Artritída pri mykózach (B35-B49†), v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M01.63*,"Artritída pri mykózach (B35-B49†), v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M01.64*,"Artritída pri mykózach (B35-B49†), v oblasti ruky (prsty, zápästie, záprstie, kĺby medzi týmito kosťami)",
M01.65*,"Artritída pri mykózach (B35-B49†), v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedrový kĺb, sakroiliakálny kĺb)",
M01.66*,"Artritída pri mykózach (B35-B49†), v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M01.67*,"Artritída pri mykózach (B35-B49†), v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M01.68*,"Artritída pri mykózach (B35-B49†), na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M01.69*,"Artritída pri mykózach (B35-B49†), miesto bližšie neurčené",
M01.8-*,Artritída pri iných infekčných a parazitových chorobách zatriedených inde,
M01.80*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, na viacerých miestach",
M01.81*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M01.82*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde: (ramenná kosť, lakťový kĺb)",
M01.83*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M01.84*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, v oblasti ruky (prsty, zápästie, záprstie, kĺby medzi týmito kosťami)",
M01.85*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedrový kĺb, sakroiliakálny kĺb)",
M01.86*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M01.87*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M01.88*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M01.89*,"Artritída pri iných infekčných a parazitových chorobách zatriedených inde, miesto bližšie neurčené",
M02.-,Reaktívne artropatie,"Nepatrí sem:  
Behçetova choroba (M35.2) 
Reumatická horúčka bez postihnutia srdca (I00)"
M02.0-,Artritída po črevnom bajpase,
M02.00,"Artritída po črevnom bajpase, na viacerých miestach",
M02.01,"Artritída po črevnom bajpase, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M02.02,"Artritída po črevnom bajpase, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M02.03,"Artritída po črevnom bajpase, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M02.04,"Artritída po črevnom bajpase, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M02.05,"Artritída po črevnom bajpase, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M02.06,"Artritída po črevnom bajpase, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M02.07,"Artritída po črevnom bajpase, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M02.08,"Artritída po črevnom bajpase, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M02.09,"Artritída po črevnom bajpase, miesto bližšie neurčené",
M02.1-,Postenteritická artritída,
M02.10,"Postenteritická artritída, na viacerých miestach",
M02.11,"Postenteritická artritída, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M02.12,"Postenteritická artritída, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M02.13,"Postenteritická artritída, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M02.14,"Postenteritická artritída, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M02.15,"Postenteritická artritída, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M02.16,"Postenteritická artritída, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M02.17,"Postenteritická artritída, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M02.18,"Postenteritická artritída, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M02.19,"Postenteritická artritída, miesto bližšie neurčené",
M02.2-,Artritída po očkovaní,
M02.20,"Artritída po očkovaní, na viacerých miestach",
M02.21,"Artritída po očkovaní, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M02.22,"Artritída po očkovaní, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M02.23,"Artritída po očkovaní, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M02.24,"Artritída po očkovaní, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M02.25,"Artritída po očkovaní, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M02.26,"Artritída po očkovaní, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M02.27,"Artritída po očkovaní, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M02.28,"Artritída po očkovaní, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M02.29,"Artritída po očkovaní, miesto bližšie neurčené",
M02.3-,Reiterova choroba,
M02.30,Reiterova choroba na viacerých miestach,
M02.31,"Reiterova choroba v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M02.32,"Reiterova choroba nadlaktia (ramenná kosť, lakťový kĺb)",
M23.23,Poškodenie menisku po starej trhline alebo poranení: postihnutie inej a bližšie neurčenej časti vnútorného menisku,
M23.24,Poškodenie menisku po starej trhline alebo poranení: postihnutie predného rohu vonkajšieho menisku,
M23.25,Poškodenie menisku po starej trhline alebo poranení: postihnutie zadného rohu vonkajšieho menisku,
M23.26,Poškodenie menisku po starej trhline alebo poranení: postihnutie inej a bližšie neurčenej časti vonkajšieho menisku,
M23.29,Poškodenie menisku po starej trhline alebo poranení: meniskus bližšie neurčený,
M23.3-,Iné poškodenie menisku,"Meniskus:  
• odchlopený 
• degenerovaný 
• retinovaný"
M23.30,Iné poškodenie menisku na viacerých miestach,
M23.31,Iné poškodenie menisku: postihnutie predného rohu vnútorného menisku,
M23.32,Iné poškodenie menisku: postihnutie zadného rohu vnútorného menisku,
M23.33,Iné poškodenie menisku: postihnutie inej a bližšie neurčenej časti vnútorného menisku,
M23.34,Iné poškodenie menisku: postihnutie predného rohu vonkajšieho menisku,
M23.35,Iné poškodenie menisku: postihnutie zadného rohu vonkajšieho menisku,
M23.36,Iné poškodenie menisku: postihnutie inej a bližšie neurčenej časti vonkajšieho menisku,
M23.39,Iné poškodenie menisku: meniskus bližšie neurčený,
M23.4-,Voľné teleso v kolennom kĺbe,
M23.40,Voľné teleso v kolennom kĺbe na viacerých miestach,
M23.41,"Voľné teleso v kolennom kĺbe, v oblasti predného skríženého väzu alebo predného rohu vnútorného menisku",
M23.42,"Voľné teleso v kolennom kĺbe, v oblasti zadného skríženého väzu alebo zadného rohu vnútorného menisku",
M23.43,"Voľné teleso v kolennom kĺbe, v oblasti tibiálneho kolaterálneho väzu alebo inej a bližšie neurčenej časti vnútorného menisku",
M23.44,"Voľné teleso v kolennom kĺbe, v oblasti fibulárneho kolaterálneho väzu alebo predného rohu vonkajšieho menisku",
M23.45,"Voľné teleso v kolennom kĺbe, v oblasti zadného rohu vonkajšieho menisku",
M23.46,"Voľné teleso v kolennom kĺbe, v inej a bližšie neurčenej časti vonkajšieho menisku",
M23.47,"Voľné teleso v kolennom kĺbe, v kĺbovom puzdre",
M23.49,"Voľné teleso v kolennom kĺbe, väz alebo meniskus bližšie neurčený",
M23.5-,Chronická instabilita kolena,
M23.50,Chronická instabilita kolena na viacerých miestach,
M23.51,Chronická instabilita kolena v oblasti predného skríženého väzu alebo predného rohu vnútorného menisku,
M23.52,Chronická instabilita kolena v oblasti zadného skríženého väzu alebo zadného rohu vnútorného menisku,
M23.53,Chronická instabilita kolena v oblasti tibiálneho kolaterálneho väzu alebo inej a bližšie neurčenej časti vnútorného menisku,
M23.54,Chronická instabilita kolena v oblasti fibulárneho kolaterálneho väzu alebo predného rohu vonkajšieho menisku,
M23.55,Chronická instabilita kolena v oblasti zadného rohu vonkajšieho menisku,
M23.56,Chronická instabilita kolena v inej a bližšie neurčenej časti vonkajšieho menisku,
M23.57,Chronická instabilita kolena v kĺbovom puzdre,
M23.59,Chronická instabilita kolena: väz alebo meniskus bližšie neurčený,
M23.6-,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu,
M23.60,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu na viacerých miestach,
M23.61,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu: predný skrížený väz,
M23.62,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu: zadný skrížený väz,
M23.63,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu: tibiálny kolaterálny väz,
M23.64,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu: fibulárny kolaterálny väz,
M23.67,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu: kĺbové puzdro,
M23.69,Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu: väz bližšie neurčený,
M23.8-,Iné vnútorné poškodenie kolenného kĺbu,"Ochabnutosť väzov kolena 
Pukanie (krepitus) v kolene "
M23.80,Iné vnútorné poškodenie kolenného kĺbu na viacerých miestach,
M23.81,Iné vnútorné poškodenie kolenného kĺbu: predný skrížený väz alebo predný roh vnútorného menisku,
M23.82,Iné vnútorné poškodenie kolenného kĺbu: zadný skrížený väz alebo zadný roh vnútorného menisku,
M23.83,Iné vnútorné poškodenie kolenného kĺbu: tibiálny kolaterálny väz alebo iná a bližšie neurčená časť vnútorného menisku,
M23.84,Iné vnútorné poškodenie kolenného kĺbu: fibulárny kolaterálny väz alebo predný roh vonkajšieho menisku,
M23.85,Iné vnútorné poškodenie kolenného kĺbu: zadný roh vonkajšieho menisku,
M23.86,Iné vnútorné poškodenie kolenného kĺbu: iná a bližšie neurčená časť vonkajšieho menisku,
M23.87,Iné vnútorné poškodenie kolenného kĺbu: kĺbové puzdro,
M23.89,Iné vnútorné poškodenie kolenného kĺbu: väz alebo meniskus bližšie neurčený,
M23.9-,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené",
M23.90,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené, na viacerých miestach",
M23.91,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: predný skrížený väz alebo predný roh vnútorného menisku",
M23.92,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: zadný skrížený väz alebo zadný roh vnútorného menisku",
M23.93,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: tibiálny kolaterálny väz alebo iná a bližšie neurčená časť vnútorného menisku",
M23.94,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: fibulárny kolaterálny väz alebo predný roh vonkajšieho menisku",
M23.95,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: zadný roh vonkajšieho menisku",
M23.96,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: iná a bližšie neurčená časť vonkajšieho menisku",
M23.97,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: kĺbové puzdro",
M23.99,"Vnútorné poškodenie kolenného kĺbu, bližšie neurčené: väz alebo meniskus bližšie neurčený",
M24.-,Iné špecifické poruchy kĺbov,"Nepatrí sem:  
Akútne poranenie – pozri poranenie kĺbu podľa oblasti  tela 
Ganglion (M67.4-) 
Choroby temporomandibulárneho kĺbu (K07.6) 
Pukanie (krepitus) v kolene (M23.8)"
M24.0-,Voľné teleso v kĺbe,"Nepatrí sem:  
Voľné teleso v kolennom kĺbe (M23.4-)"
F68.1,"Úmyselné vyvolávanie alebo predstieranie somatických alebo psychických príznakov, alebo nespôsobilostí [predstieraná porucha]","Osoba opakovane predstiera príznaky bez zjavnej príčiny a môže siahnuť aj k sebapoškodeniu na vyvolanie príznakov. Motivácia je nejasná, pravdepodobne vnútorná s cieľom osvojiť si rolu chorého. Porucha je často kombinovaná so zreteľnými poruchami osobnosti a vzťahov.  
Sťahovavý pacient (peregrinating patient)  
Syndróm hospitalizmu 
Münchhausenov syndróm (syndróm baróna Prášila) 
Nepatrí sem:  
Dermatitis factitia (artefacta) (L98.1) 
Osoba predstierajúca chorobu (so zreteľnou motiváciou) (Z76.5) "
F68.8,"Iná porucha osobnosti a správania dospelých, bližšie určená","Charakterová porucha, bližšie neurčená 
Porucha vzťahov, bližšie neurčená"
F69,"Porucha osobnosti a správania dospelých, bližšie neurčená",
F70.-,Mierna duševná zaostalosť,"Rozsah IQ od 50 do 69 (u dospelých, mentálny vek od 9 do 12 rokov). Problémy s učením v škole. Veľa dospelých je schopných pracovať, udržiavať dobré spoločenské vzťahy a byť prospešnými spoločnosti.  
Patrí sem:  
Debilita 
Ľahké duševné postihnutie"
F70.0,Mierna duševná zaostalosť bez poruchy správania alebo s minimálnou poruchou správania,
F70.1,Mierna duševná zaostalosť s významnou poruchou správania a s potrebou pozorovania alebo liečby,
F70.8,Mierna duševná zaostalosť s inou poruchou správania,
F70.9,Mierna duševná zaostalosť bez údaja o poruche správania,
F71.-,Stredne ťažká duševná zaostalosť,"Rozsah IQ od 35 do 49 (u dospelých, mentálny vek od 6 do 9 rokov). Výrazne oneskorený vývin v detstve, ale väčšina je schopná dosiahnuť určitý stupeň nezávislosti a schopnosti primerane komunikovať a nadobudnúť školské zručnosti. Život a práca dospelých v spoločnosti vyžaduje starostlivosť rôzneho stupňa.
  
Patrí sem:  
Stredne ťažké duševné postihnutie "
F71.0,Stredne ťažká duševná zaostalosť bez poruchy správania alebo s minimálnou poruchou správania,
F71.1,Stredne ťažká duševná zaostalosť s významnou poruchou správania a s potrebou pozorovania alebo liečby,
F71.8,Stredne ťažká duševná zaostalosť s inou poruchou správania,
F71.9,Stredne ťažká duševná zaostalosť bez údaja o poruche správania,
F72.-,Ťažká duševná zaostalosť,"Rozsah IQ od 20 do 34 (u dospelých, mentálny vek od 3 do 6 rokov). Stav potrebuje neustálu podporu. 
Patrí sem:  
Ťažké duševné postihnutie"
F72.0,Ťažká duševná zaostalosť bez poruchy správania alebo s minimálnou poruchou správania,
F72.1,Ťažká duševná zaostalosť s významnou poruchou správania a s potrebou pozorovania alebo liečby,
F72.8,Ťažká duševná zaostalosť s inou poruchou správania,
F72.9,Ťažká duševná zaostalosť bez údaja o poruche správania,
G31.8-,Iná bližšie určená degeneratívna choroba nervovej sústavy,
G31.81,Mitochondriová cytopatia,"Syndróm MELAS (myopatia, encefalopatia, laktátová acidóza, ""stroke-like episodes"") 
Syndróm MERRF (myoklonická epilepsia s výskytom „ragged red fibres“) 
Mitochondriálna encefalomyopatia 
Použite prídavný kód pri manifestácii:  
• generalizovanej nekonvulzívnej epilepsie (G40.3) 
• inej myopatie (G72.8) 
• progresívnej vonkajšej oftalmoplégie (H49.4) 
• porážky (I60 – I64)"
G31.82,Demencia s Lewyho telieskami,Choroba s Lewyho telieskami
G31.88,"Iná degeneratívna choroba nervovej sústavy, bližšie určená","Infantilná neuroaxonálna dystrofia (Seitelbergerova choroba) 
Progresívna cerebrálna poliodystrofia (Alpersova choroba) 
Subakútna nekrotizujúca encefalomyelopatia (Leighov syndróm)"
G31.9,"Degeneratívna choroba nervovej sústavy, bližšie neurčená",
G32.-*,Iná degeneratívna choroba nervovej sústavy pri chorobách zatriedených inde,
G32.0*,Subakútna kombinovaná degenerácia miechy pri chorobách zatriedených inde,Subakútna kombinovaná degenerácia miechy pri nedostatku vitamínu B12 (E53.8†)
G32.8*,Iná bližšie určená degeneratívna choroba nervovej sústavy pri chorobách zatriedených inde,
G35.-,"Roztrúsená skleróza [Sclerosis multiplex, Encephalomyelitis disseminata]","Patrí sem:  
Roztrúsená skleróza:  
• diseminovaná 
• generalizovaná 
• mozgového kmeňa 
• miechy 
• bližšie neurčená 
Pri položkách G35.1 – G35.3 sa má použiť päťmiestny kód s nasledujúcou číslicou na piatom mieste:  
.-0 bez prejavov relapsu alebo progresie 
.-1 s prejavmi relapsu alebo progresie"
G35.0,"Roztrúsená skleróza, prvá manifestácia",
G35.1-,Roztrúsená skleróza s relaps-remitujúcim priebehom,
G35.10,"Roztrúsená skleróza s relaps-remitujúcim priebehom, bez prejavov relapsu alebo progresie",
G35.11,"Roztrúsená skleróza s relaps-remitujúcim priebehom, s prejavmi relapsu alebo progresie",
G35.2-,Roztrúsená skleróza s primárne progresívnym priebehom,
G35.20,"Roztrúsená skleróza s primárne progresívnym priebehom, bez prejavov relapsu alebo progresie",
G35.21,"Roztrúsená skleróza s primárne progresívnym priebehom, s prejavmi relapsu alebo progresie",
G35.3-,Roztrúsená skleróza so sekundárne progresívnym priebehom,
G35.30,"Roztrúsená skleróza so sekundárne progresívnym priebehom, bez prejavov relapsu alebo progresie",
G35.31,"Roztrúsená skleróza so sekundárne progresívnym priebehom, s prejavmi relapsu alebo progresie",
G35.9,"Roztrúsená skleróza, bližšie neurčená",
G36.-,Iná akútna roztrúsená [diseminovaná] demyelinizácia,"Nepatrí sem:  
Postinfekčná encefalitída a encefalomyelitída, bližšie neurčená (G04.8)"
G36.0,Neuromyelitis optica [Devicova choroba],"Demyelinizácia pri zápale zrakového nervu 
Nepatrí sem:  
Neuritída očného nervu, bližšie neurčená (H46)"
G36.1,Akútna a subakútna hemoragická leukoencefalitída [Hurstova choroba],
G36.8,"Iná akútna roztrúsená demyelinizácia, bližšie určená",
G36.9,"Akútna roztrúsená demyelinizácia, bližšie neurčená",
G37.-,Iná demyelinizačná choroba centrálnej nervovej sústavy,
G37.0,Difúzna skleróza centrálnej nervovej sústavy [Schilderova choroba],"Periaxiálna encefalitída 
Schilderova choroba 
Nepatrí sem: 
Adrenoleukodystrofia [Addisonov-Schilderov syndróm]  (E71.3)  "
G37.1,Centrálna demyelinizácia corpus callosum,
G37.2,Centrálna pontínna myelinolýza,
G37.3,Akútna priečna myelitída pri demyelinizačnej chorobe centrálnej nervovej sústavy,"Akútna priečna myelitída, bližšie neurčená 
Nepatrí sem:  
Roztrúsená skleróza  [Encephalomyelitis disseminata] (G35.-) 
Neuromyelitis optica  [Devicova choroba](G36.0)"
G37.4,Subakútna nekrotizujúca myelitída,
